,Topic,Count,TopicLabel,WordScore,Sentiment
25,24,596,24_women_womens_girls_health,"[('women', 0.04966110406603784), ('womens', 0.019069829468156045), ('girls', 0.018415552605420788), ('health', 0.016049456360262268), ('menstrual', 0.015630875691496376), ('hygiene', 0.014561952438192463), ('period', 0.011479844146668954), ('womens health', 0.009345969531277058), ('sanitary', 0.009302987004633948), ('india', 0.008876427660353478)]",positive
26,25,580,25_indiafightscorona_swasthabharat_healthforall_coronaoutbreak,"[('indiafightscorona', 0.03681418670211563), ('swasthabharat', 0.03511467088734333), ('healthforall', 0.03233030456274556), ('coronaoutbreak', 0.027796084871810095), ('swasthabharat healthforall', 0.02738504647991449), ('covid19', 0.023710525459993383), ('help us help', 0.021911507335716476), ('us help', 0.020868077331774135), ('help', 0.020634052763560215), ('coronaoutbreak swasthabharat', 0.01989901073702375)]",positive
27,26,575,26_food_food safety_food safety day_world food,"[('food', 0.0862584239986749), ('food safety', 0.04935880923844182), ('food safety day', 0.03959733865599726), ('world food', 0.039077556184434876), ('world food safety', 0.038911865856105766), ('safety day', 0.038860649917774104), ('safety', 0.03622765563419442), ('worldfoodsafetyday', 0.031161390702361347), ('world', 0.022732022715212914), ('day', 0.021527693583607416)]",positive
28,27,561,27_immunity_helps_benefits_health,"[('immunity', 0.021354188010291802), ('helps', 0.017809949571799003), ('benefits', 0.017357376149305645), ('health', 0.014675230041261445), ('boost', 0.011797347153103113), ('immune', 0.011481843019701283), ('vitamin', 0.010879264412050416), ('system', 0.010783784532180542), ('fruit', 0.010763879129480125), ('weight', 0.010359615076186164)]",positive
29,28,561,28_milk_meditation_saint_insan,"[('milk', 0.03337357642856529), ('meditation', 0.030225873793763215), ('saint', 0.026205794303766922), ('insan', 0.02021604326649296), ('ji insan', 0.02008917133929313), ('saint dr', 0.02001983592368131), ('singh ji insan', 0.019127598559676114), ('ji', 0.018996408414414464), ('singh ji', 0.018944533555219797), ('cow', 0.018187126636990264)]",positive
30,29,545,29_mere_ke_se_police,"[('mere', 0.029892634550247956), ('ke', 0.023795784294021148), ('se', 0.02324034530944433), ('police', 0.020953556911817436), ('doctors', 0.019362155073717222), ('doctors nurses', 0.018062799255705815), ('taraf', 0.017810073953000424), ('aur', 0.017658375083287874), ('ko', 0.017303438369446145), ('ki taraf', 0.017219614349981257)]",positive
31,30,544,30_earth_environment_planet_trees,"[('earth', 0.02830557149628204), ('environment', 0.028300680387846326), ('planet', 0.020808313091600146), ('trees', 0.01688980745735167), ('mother earth', 0.013835004237638148), ('worldenvironmentday', 0.013713633477827317), ('nature', 0.013139056195126925), ('environment day', 0.012685769557066342), ('earthday2020', 0.012636107796349992), ('day', 0.012624832308098332)]",positive
32,31,495,31_wish happy healthy_happy healthy_wish happy_good,"[('wish happy healthy', 0.09397520278468387), ('happy healthy', 0.09053815698880466), ('wish happy', 0.08615758923472336), ('good', 0.08065683378239248), ('good morning', 0.07456482898609411), ('morning', 0.07184110141428629), ('always prayer', 0.06969578447497385), ('life always prayer', 0.06962670784414787), ('happiness life always', 0.06959488387257352), ('always prayer good', 0.0695567702858773)]",positive
33,32,486,32_feedback_healthcare health_doctor_hospital,"[('feedback', 0.04764708421338635), ('healthcare health', 0.03379637566112095), ('doctor', 0.03197097223706564), ('hospital', 0.03143883815027679), ('testimonial', 0.028371381792115808), ('besthospital', 0.027153895203565058), ('healthcare', 0.025926870186689963), ('feedback testimonial', 0.025625917006126764), ('testimonial review', 0.02468693993496095), ('patientexperience', 0.024656573142953976)]",positive
34,33,478,33_appreciate_project_really appreciate_really,"[('appreciate', 0.12418887823651487), ('project', 0.05252816615368954), ('really appreciate', 0.04910509839425493), ('really', 0.038752315546448535), ('airdrop', 0.03511176271004822), ('thanks', 0.0309382944310098), ('thank', 0.030600182491228218), ('appreciate appreciate', 0.030270925215107564), ('response', 0.02825665922898953), ('work', 0.02363024494874979)]",positive
