,Topic,Count,TopicLabel,WordScore,Sentiment
26,25,30,25_lockdown_campaign_taking_part,"[('lockdown', 0.038991907465550764), ('campaign', 0.021327199783677964), ('taking', 0.015296814202848346), ('part', 0.013821721858213362), ('taking part', 0.013356642576742996), ('fundraising', 0.011859418025494044), ('managed', 0.011151539704281515), ('next week', 0.01080656435241356), ('fundraising campaign', 0.010338059101870805), ('taking place next', 0.010224641141522472)]",positive
27,26,29,26_bwell_cumbria_key workers bwell_workers bwell,"[('bwell', 0.034344828311758), ('cumbria', 0.028246427685009665), ('key workers bwell', 0.027466303864824015), ('workers bwell', 0.027466303864824015), ('workers', 0.025580581093659845), ('key workers', 0.025041994868279682), ('donations', 0.022095939935429663), ('covid19', 0.02086116904359572), ('stockport', 0.020456592584093), ('key', 0.0196943484576918)]",positive
28,27,29,27_mngr_pa_amp_got new,"[('mngr', 0.04490036483672151), ('pa', 0.0439482553601811), ('amp', 0.04226674656824526), ('got new', 0.02787576818454331), ('amp influential', 0.025255517895230156), ('mngr 30770 pa', 0.025255517895230156), ('influential', 0.025255517895230156), ('important amp', 0.025255517895230156), ('34450 pa', 0.025255517895230156), ('new important', 0.025255517895230156)]",positive
29,28,29,28_dogs_animal_dog_irish blue,"[('dogs', 0.03886885123105248), ('animal', 0.031951896258263855), ('dog', 0.02748746625024167), ('irish blue', 0.014183554050731413), ('irish blue cross', 0.014183554050731413), ('blue cross', 0.014183554050731413), ('pets', 0.013352849263514446), ('rescue', 0.011770379536434795), ('cross', 0.0116188713666414), ('animal hospital', 0.011079871257740966)]",positive
30,29,28,29_scottish_fundraising scottish_fundraising scottish association_scottish association mental,"[('scottish', 0.03315910862023009), ('fundraising scottish', 0.027623945944869176), ('fundraising scottish association', 0.027623945944869176), ('scottish association mental', 0.027218034764519526), ('scottish association', 0.027218034764519526), ('association mental health', 0.027218034764519526), ('association mental', 0.027218034764519526), ('association', 0.024610372596102638), ('fundraising', 0.02063954856366683), ('justgiving', 0.0206177603674628)]",positive
31,30,27,30_motivation_monday motivation_fitness_monday,"[('motivation', 0.03586412111117298), ('monday motivation', 0.033420400907381305), ('fitness', 0.029310282606257104), ('monday', 0.027430485186658336), ('gym', 0.020421367145148073), ('energy', 0.02018672880775048), ('positive', 0.01966353224949447), ('exercise', 0.019570837261483013), ('positive strong health', 0.016823558636816456), ('findaway wekeepgoing', 0.016823558636816456)]",positive
32,31,27,31_st_ambulance_emergency_st john,"[('st', 0.0321763225025248), ('ambulance', 0.031489444729374344), ('emergency', 0.026263456804876902), ('st john', 0.023238067663200787), ('staff', 0.018807306411712323), ('john', 0.017378784127591758), ('john ambulance', 0.01685431468551265), ('st john ambulance', 0.01685431468551265), ('lukes', 0.016310999004032548), ('st lukes', 0.016310999004032548)]",positive
33,32,27,32_day_30_30 day_30 day challenge,"[('day', 0.05150138536189691), ('30', 0.048889010514111465), ('30 day', 0.04693709631093631), ('30 day challenge', 0.04693709631093631), ('challenge', 0.04637855494348592), ('day challenge', 0.04475081085397938), ('raise awareness', 0.043919999498712774), ('awareness', 0.04268291720714564), ('awareness mens mental', 0.04019128500802207), ('25', 0.03821348358249417)]",positive
34,33,27,33_support_benefit homefromhome_receiving critical_receiving critical care,"[('support', 0.02492994228011761), ('benefit homefromhome', 0.019395905337403922), ('receiving critical', 0.019395905337403922), ('receiving critical care', 0.019395905337403922), ('homefromhome', 0.019395905337403922), ('relatives', 0.018868156568009543), ('please support', 0.01875106208296611), ('covid19', 0.017196859350720645), ('critical care', 0.016632058040614385), ('receiving', 0.016417970409384586)]",positive
35,34,25,34_podcast_mp_wellbeing_health,"[('podcast', 0.04030779343515147), ('mp', 0.018788670674564384), ('wellbeing', 0.01507316041086166), ('health', 0.014334949166772347), ('1700hrs sunday covering', 0.014149147971574905), ('speaking today wellbeing', 0.014149147971574905), ('free first aid', 0.014149147971574905), ('health training gloucestershire', 0.014149147971574905), ('sunday covering', 0.014149147971574905), ('wellbeing show 1700hrs', 0.014149147971574905)]",positive
36,35,25,35_board_volunteers_board trustees_volunteersweek,"[('board', 0.03537717140192296), ('volunteers', 0.025386505852793707), ('board trustees', 0.021571848295952135), ('volunteersweek', 0.021163584630170134), ('trustees', 0.019680184501660168), ('trustee', 0.017279354992898534), ('difference', 0.015962866453919602), ('charity', 0.015443008538433256), ('volunteersweek want', 0.013930205643194637), ('range', 0.013447309803054227)]",positive
37,36,24,36_spuds adventures lockdown_spuds adventures_adventures lockdown_spuds,"[('spuds adventures lockdown', 0.05899907939545207), ('spuds adventures', 0.05899907939545207), ('adventures lockdown', 0.05899907939545207), ('spuds', 0.05835505735358911), ('adventures', 0.05717392980050267), ('percentage', 0.05662943995825898), ('percentage go mental', 0.05286586471821837), ('help id really', 0.05286586471821837), ('friday im trying', 0.05286586471821837), ('friday im', 0.05286586471821837)]",positive
38,37,24,37_ambulance_air ambulance_air_justgiving,"[('ambulance', 0.07512767206052554), ('air ambulance', 0.07350150709633525), ('air', 0.06965326186698141), ('justgiving', 0.0545201601469506), ('page', 0.04815632953332743), ('page please donate', 0.04411268652933759), ('please donate thank', 0.04411268652933759), ('thank justgiving', 0.04370459026639999), ('page please', 0.04370459026639999), ('donate thank', 0.04357193459378836)]",positive
39,38,23,38_raffle_zombie_essex_deadfest,"[('raffle', 0.03370657343206274), ('zombie', 0.033185750514332424), ('essex', 0.03199829707668972), ('deadfest', 0.02603805606385317), ('zombie deadfest', 0.02230529113801451), ('alzheimers', 0.021698380053210977), ('event', 0.019340151726503017), ('essex essexairambulance silentstudios2', 0.018438620265950837), ('one volunteered zombie', 0.018438620265950837), ('essexairambulance', 0.018438620265950837)]",positive
40,39,22,39_huge_teamwork_dcu_covid19 teamwork,"[('huge', 0.04580197803981553), ('teamwork', 0.02907808625419006), ('dcu', 0.02899560808892335), ('covid19 teamwork', 0.02899560808892335), ('huge thank', 0.02603893619797609), ('staff', 0.02291224188687448), ('thank', 0.02171935206597663), ('newcastle', 0.020770061610135754), ('visors huge help', 0.020532984705958615), ('donations hospitals newcastle', 0.020532984705958615)]",positive
41,40,22,40_delivered_week please pop_along day_emergency care james,"[('delivered', 0.023151220755698372), ('week please pop', 0.021283674750013845), ('along day', 0.021283674750013845), ('emergency care james', 0.021283674750013845), ('care james cook', 0.021283674750013845), ('hello lovely staff', 0.021283674750013845), ('feel free make', 0.021283674750013845), ('hospital cake', 0.021283674750013845), ('donation look forward', 0.021283674750013845), ('donation look', 0.021283674750013845)]",positive
42,41,22,41_nurses trust_cavell nurses trust_page_cavell nurses,"[('nurses trust', 0.0373372440108496), ('cavell nurses trust', 0.0373372440108496), ('page', 0.03657038936556813), ('cavell nurses', 0.0362840290587929), ('check page please', 0.035680054978909706), ('check page', 0.035458610950118936), ('page please', 0.03534997086379652), ('thank justgiving', 0.03534997086379652), ('balfronathon', 0.0352819187857089), ('ruth', 0.033725356213752465)]",positive
43,42,22,42_tea_bags_noodles_streets,"[('tea', 0.03301668937850102), ('bags', 0.029348168336445345), ('noodles', 0.028803159362669434), ('streets', 0.02538964612394674), ('big trolleys', 0.02039670383401641), ('going really struggling', 0.02039670383401641), ('going really', 0.02039670383401641), ('collections big trolleys', 0.02039670383401641), ('collections big', 0.02039670383401641), ('extra donate', 0.02039670383401641)]",positive
44,43,22,43_blood_donation_blood donation_vein,"[('blood', 0.06215361710705238), ('donation', 0.030168867677135287), ('blood donation', 0.028873439832351033), ('vein', 0.02726808207581236), ('nurse', 0.023326292389196358), ('platelets', 0.021814465660649887), ('donor', 0.01955886129382012), ('giveblood', 0.015915682190619295), ('give', 0.015900565514382355), ('arm', 0.015539392434927664)]",positive
45,44,20,44_amp_contact 0300_facing national lockdown_lines open middaymidnight,"[('amp', 0.02992591331489741), ('contact 0300', 0.020532984705958615), ('facing national lockdown', 0.020532984705958615), ('lines open middaymidnight', 0.020532984705958615), ('1020 505', 0.020532984705958615), ('1020 505 lines', 0.020532984705958615), ('stressed anxious covid19', 0.020532984705958615), ('charity fed', 0.020532984705958615), ('charity fed facing', 0.020532984705958615), ('open middaymidnight', 0.020532984705958615)]",positive
46,45,20,45_loss_pregnancy_pregnancy loss_women,"[('loss', 0.04522870264981043), ('pregnancy', 0.04314330845121776), ('pregnancy loss', 0.03946277992124168), ('women', 0.03308354964075388), ('pregnant', 0.02175276195810624), ('ambassadors', 0.020400311553600618), ('baby', 0.018483420863236864), ('tommys', 0.01804991558278603), ('stillbirth', 0.01804991558278603), ('miscarriage', 0.01804991558278603)]",positive
47,46,19,46_go nurse_walking_challenge_challenge1 day left,"[('go nurse', 0.03364089930730384), ('walking', 0.03088724307674484), ('challenge', 0.030696474349822905), ('challenge1 day left', 0.023822506803554053), ('training 800', 0.023822506803554053), ('go nurse training', 0.023822506803554053), ('training 800 emergency', 0.023822506803554053), ('walking challenge1', 0.023822506803554053), ('800 emergency care', 0.023822506803554053), ('nurse training 800', 0.023822506803554053)]",positive
48,47,19,47_research_cancer_collaboration_public health,"[('research', 0.03157256112128344), ('cancer', 0.026309833791553768), ('collaboration', 0.020359947264798072), ('public health', 0.019900327552470384), ('chair', 0.018946196700550515), ('leading', 0.018247399391546026), ('research grant', 0.01708533862457557), ('research project', 0.016681395028570644), ('affected cancer', 0.016681395028570644), ('public', 0.01667231655160128)]",positive
49,48,18,48_midwifery_nurses_studentmidwife_midwifery midwife studentmidwife,"[('midwifery', 0.027471065484795432), ('nurses', 0.027005366916330664), ('studentmidwife', 0.02532777509059181), ('midwifery midwife studentmidwife', 0.02532777509059181), ('cup cakes', 0.02532777509059181), ('midwife studentmidwife', 0.02532777509059181), ('nursesociety', 0.02532777509059181), ('hinckleyladiescircle', 0.02532777509059181), ('fundraising', 0.025137911712158317), ('midwifery midwife', 0.024511308942873088)]",positive
50,49,17,49_workers donation made_made items shared_western general hospital_western general,"[('workers donation made', 0.023231988121069767), ('made items shared', 0.023231988121069767), ('western general hospital', 0.023231988121069767), ('western general', 0.023231988121069767), ('donation made items', 0.023231988121069767), ('us supporters together', 0.023231988121069767), ('us supporters', 0.023231988121069767), ('thank nhs morning', 0.023231988121069767), ('supporters together make', 0.023231988121069767), ('supporters together', 0.023231988121069767)]",positive
