,Topic,Count,TopicLabel,WordScore,Sentiment
26,25,17,25_flu_financial_assist_flu vaccination,"[('flu', 0.05570933446649933), ('financial', 0.0509512883907759), ('assist', 0.034613291152489865), ('flu vaccination', 0.032095969418117334), ('season', 0.02307247141750915), ('win', 0.02282608490996077), ('comments', 0.022777831835786473), ('voucher winner announced', 0.022777831835786473), ('voucher winner', 0.022777831835786473), ('us comments section', 0.022777831835786473)]",positive
27,26,16,26_back_last_back work_last holiday tip,"[('back', 0.0795004899193492), ('last', 0.07696411448491988), ('back work', 0.05042441197771001), ('last holiday tip', 0.046551661793821336), ('2020 last', 0.046551661793821336), ('safely ready', 0.046551661793821336), ('drive back', 0.046551661793821336), ('steady 2020 last', 0.046551661793821336), ('work enjoy', 0.046551661793821336), ('days go back', 0.046551661793821336)]",positive
28,27,16,27_bela_bela bela_tourism_recovery,"[('bela', 0.07090154042897395), ('bela bela', 0.039839758865028184), ('tourism', 0.038266536086199426), ('recovery', 0.029120459445784362), ('health', 0.01767477003402523), ('post covid19 tourism', 0.015602366197540291), ('bela forever resorts', 0.015602366197540291), ('biz travels post', 0.015602366197540291), ('plays critical role', 0.015602366197540291), ('bela bela please', 0.015602366197540291)]",positive
29,28,13,28_globe_countries going_prevention better cure_distance stay home,"[('globe', 0.05272909261547847), ('countries going', 0.029272971170646984), ('prevention better cure', 0.029272971170646984), ('distance stay home', 0.029272971170646984), ('cure value health', 0.029272971170646984), ('practice social distance', 0.029272971170646984), ('due covid19 decided', 0.029272971170646984), ('notice believe', 0.029272971170646984), ('decided take', 0.029272971170646984), ('precautionary steps close', 0.029272971170646984)]",positive
30,29,13,29_coronavirus_staying_information media inform_sources,"[('coronavirus', 0.05591945667675446), ('staying', 0.04312116754378074), ('information media inform', 0.03956353955620198), ('sources', 0.03956353955620198), ('johannesburg healthyliving sandton', 0.03956353955620198), ('lockdown trips corona', 0.03956353955620198), ('reliable sources', 0.03956353955620198), ('discovery pretoria', 0.03956353955620198), ('discovery pretoria africa', 0.03956353955620198), ('hiddengems', 0.03956353955620198)]",positive
31,30,13,30_dive_valid 2020_aliwalshoalscuba_aliwalshoalscuba aliwalshoalscubacares,"[('dive', 0.08417292562520728), ('valid 2020', 0.07129843833611949), ('aliwalshoalscuba', 0.07129843833611949), ('aliwalshoalscuba aliwalshoalscubacares', 0.07129843833611949), ('tank dives', 0.07129843833611949), ('ready dive', 0.07129843833611949), ('aliwalshoalscubacares', 0.07129843833611949), ('double tank', 0.07129843833611949), ('double tank dives', 0.07129843833611949), ('r599 double tank', 0.07129843833611949)]",positive
32,31,12,31_skin_skincare_spa_oh,"[('skin', 0.07376153579062082), ('skincare', 0.0577603066425693), ('spa', 0.033737000515366884), ('oh', 0.030710800854456932), ('also', 0.025825906092569306), ('miss', 0.0192534355475231), ('know', 0.019074580841839873), ('south africa', 0.019074580841839873), ('africa', 0.017395748021033625), ('south', 0.01704577397557182)]",positive
33,32,12,32_beach_travel southafrica_capetown_walking,"[('beach', 0.07636082067868406), ('travel southafrica', 0.05841665851931971), ('capetown', 0.05113272006975484), ('walking', 0.04976361923058556), ('southafrica', 0.04450956669056565), ('bikini', 0.04344454755020737), ('sunshine', 0.04344454755020737), ('travel', 0.02762420815347491), ('day', 0.026687866414925467), ('health', 0.024689811799192673)]",positive
34,33,12,33_immune_imsyser immune health_imsyser immune_immune health,"[('immune', 0.04964159412693912), ('imsyser immune health', 0.043574736258624576), ('imsyser immune', 0.043574736258624576), ('immune health', 0.043574736258624576), ('imsyser', 0.041854023844280615), ('immunity', 0.038220603022591976), ('health', 0.03690612492900155), ('best', 0.03606966672266769), ('hard work office', 0.030924070304835106), ('good health news', 0.030924070304835106)]",positive
35,34,12,34_written verbal command_command english_verbal command english_agent,"[('written verbal command', 0.05823425356348328), ('command english', 0.05823425356348328), ('verbal command english', 0.05823425356348328), ('agent', 0.05823425356348328), ('etiquette', 0.05823425356348328), ('within aviation concern', 0.05823425356348328), ('english language including', 0.05823425356348328), ('english language', 0.05823425356348328), ('verbal command', 0.05823425356348328), ('sales within aviation', 0.05823425356348328)]",positive
36,35,11,35_would spend_supplements_hygienic_prize pharmacy hometown,"[('would spend', 0.09795607559266138), ('supplements', 0.08707206719347678), ('hygienic', 0.0835213960185851), ('prize pharmacy hometown', 0.0835213960185851), ('supplements sanitary products', 0.0835213960185851), ('various health', 0.0835213960185851), ('various health supplements', 0.0835213960185851), ('supplements sanitary', 0.0835213960185851), ('id buy', 0.0835213960185851), ('buy various', 0.0835213960185851)]",positive
37,36,11,36_safety regulations_sanitize_regulations_inline,"[('safety regulations', 0.05284824121642348), ('sanitize', 0.04666826628378496), ('regulations', 0.045872126660935236), ('inline', 0.03665074999091568), ('covid19 safety', 0.03665074999091568), ('social distancing sanitize', 0.03665074999091568), ('visit see whats', 0.03665074999091568), ('stage open tickets', 0.03665074999091568), ('easter holiday', 0.03665074999091568), ('hands dont forget', 0.03665074999091568)]",positive
