,Topic,Count,TopicLabel,WordScore,Sentiment
26,25,20,25_bonuses_players_salary_omituntun,"[('bonuses', 0.03879104318044754), ('players', 0.03484484628492219), ('salary', 0.03062982904730993), ('omituntun', 0.01985802136217618), ('performance', 0.01985802136217618), ('big deal', 0.01777590012055376), ('salaries', 0.015305449439254121), ('club', 0.014893516021632134), ('bonus', 0.014644045171578862), ('deal', 0.014612739400495931)]",negative
27,26,20,26_protest_endsars_pass_message,"[('protest', 0.06905875473841235), ('endsars', 0.035954779151504544), ('pass', 0.028344118306518215), ('message', 0.026604185583090047), ('pass message', 0.023604215256541956), ('pls', 0.01832858125176648), ('protesters', 0.01593789069516051), ('message across', 0.01593789069516051), ('peaceful protest', 0.01593789069516051), ('peaceful', 0.015272749068479249)]",negative
28,27,19,27_cases_travel history ukusa_remain calm public_cases covid19 nigeria,"[('cases', 0.07488306997160862), ('travel history ukusa', 0.039829817126715815), ('remain calm public', 0.039829817126715815), ('cases covid19 nigeria', 0.039829817126715815), ('ukusa', 0.039829817126715815), ('confirmed cases nigeria', 0.039829817126715815), ('intensified across country', 0.039829817126715815), ('intensified across', 0.039829817126715815), ('intensified', 0.039829817126715815), ('health response', 0.039829817126715815)]",negative
29,28,19,28_said aware_said_health said_minister health said,"[('said aware', 0.04701230938024006), ('said', 0.04272345418896732), ('health said', 0.034803459969998375), ('minister health said', 0.034803459969998375), ('aware', 0.03273952094659674), ('minister health', 0.03084971277616158), ('boss', 0.027368476587653037), ('patients paid hazard', 0.026493689795616015), ('minister', 0.025988199625533153), ('covid19 patients paid', 0.025869037613455447)]",negative
30,29,19,29_strike_doctors_threaten_resident doctors,"[('strike', 0.07289796789532224), ('doctors', 0.054460274330555905), ('threaten', 0.045185294923099466), ('resident doctors', 0.04457055958527924), ('resident', 0.042961080322345656), ('unpaid', 0.031865690596331646), ('threaten strike', 0.03076063966173951), ('embarked', 0.03076063966173951), ('doctors threaten', 0.02749094832326265), ('doctors threaten strike', 0.02749094832326265)]",negative
31,30,19,30_job_vacancy_job vacancy_call,"[('job', 0.08076327448364713), ('vacancy', 0.0760594928317546), ('job vacancy', 0.07376033153629699), ('call', 0.05141543363070426), ('recruitment', 0.04608851528834016), ('chemist healthcare work', 0.04216044637067726), ('phone apply', 0.04216044637067726), ('chemist', 0.04216044637067726), ('chemist healthcare', 0.04216044637067726), ('nkpor obosi warri', 0.04216044637067726)]",negative
32,31,18,31_safe_messages_involved_stay safe,"[('safe', 0.051321984207321), ('messages', 0.02984381200800808), ('involved', 0.02983506439547864), ('stay safe', 0.024462278913887355), ('message', 0.024132300623401364), ('outbreak', 0.024067971353339383), ('staying safe', 0.023089510402740283), ('staying', 0.019254377082671505), ('stay', 0.018614751288737415), ('means', 0.01847703900256685)]",negative
33,32,17,32_test_results_self_covid,"[('test', 0.02517837404087697), ('results', 0.024851140388037773), ('self', 0.02398179952247235), ('covid', 0.02395268979225672), ('covid 19', 0.02383477006950981), ('19', 0.023685178055943636), ('19 test results', 0.022103275033779016), ('uk', 0.020953236178210488), ('test results', 0.020231938968654294), ('19 test', 0.019392295105804685)]",negative
34,33,17,33_covid19_pass_kick covid19 campaign_covid19 abbakyari hantavirus,"[('covid19', 0.026296754318421173), ('pass', 0.023977791987759536), ('kick covid19 campaign', 0.022968938546851298), ('covid19 abbakyari hantavirus', 0.022968938546851298), ('hantavirus ncdc', 0.022968938546851298), ('hantavirus', 0.022968938546851298), ('join pass message', 0.022968938546851298), ('join pass', 0.022968938546851298), ('ncdc coronavirus', 0.022968938546851298), ('covid19 campaign everyone', 0.022968938546851298)]",negative
35,34,17,34_whatsapp_send whatsapp_send whatsapp message_whatsapp message,"[('whatsapp', 0.03187122013721781), ('send whatsapp', 0.024929371615343233), ('send whatsapp message', 0.024929371615343233), ('whatsapp message', 0.024068086415829568), ('message', 0.02375815642768972), ('safe dont', 0.02273153349727144), ('message saying hi', 0.02273153349727144), ('saying hi', 0.02273153349727144), ('send', 0.02269224000816283), ('message saying', 0.02080700700135506)]",negative
36,35,16,35_gatherings_guidance_contacts_kano,"[('gatherings', 0.041247818639332974), ('guidance', 0.031050045152407744), ('contacts', 0.02681550064155678), ('kano', 0.02240646501059581), ('covid19 pandemic', 0.02154928960518977), ('measures', 0.02101622403121493), ('state', 0.02030149720624619), ('travel', 0.019766563916875306), ('pandemic', 0.01800762814843096), ('light world health', 0.01769966267431707)]",negative
37,36,16,36_holiday_lock_funkeakindelebello_introduction,"[('holiday', 0.06558602663757826), ('lock', 0.03299121705294308), ('funkeakindelebello', 0.029619876981293095), ('introduction', 0.029619876981293095), ('lockdowneffect', 0.029619876981293095), ('babe', 0.029619876981293095), ('year', 0.025585270053964333), ('picture', 0.024342246423218573), ('social media', 0.024011075870857504), ('holiday year cancelled', 0.023182386465688015)]",negative
38,37,16,37_matters_suddenly_nothing matters_nothing,"[('matters', 0.07817865530364969), ('suddenly', 0.04326251641573353), ('nothing matters', 0.04188682847556018), ('nothing', 0.032614273197377426), ('money travelings', 0.02825808874037277), ('travelings lifestyle', 0.02825808874037277), ('covid19 coronavirusinnigeria', 0.02825808874037277), ('health safety striving', 0.02825808874037277), ('money travelings lifestyle', 0.02825808874037277), ('travelings lifestyle football', 0.02825808874037277)]",negative
39,38,15,38_chinese_tests_customs via_deemed untrustworthy blacklisted,"[('chinese', 0.02766356076025184), ('tests', 0.02591271393439396), ('customs via', 0.024678024302184017), ('deemed untrustworthy blacklisted', 0.024678024302184017), ('health conditions deemed', 0.024678024302184017), ('officials extort', 0.024678024302184017), ('health officials extort', 0.024678024302184017), ('travelers fail', 0.024678024302184017), ('untrustworthy blacklisted accessing', 0.024678024302184017), ('untrustworthy', 0.024678024302184017)]",negative
40,39,15,39_sir_25000 covid19_expose_25000,"[('sir', 0.056354191093459724), ('25000 covid19', 0.05338830965953751), ('expose', 0.052062360190890576), ('25000', 0.052062360190890576), ('allowance', 0.0488545206289831), ('daily', 0.04053556048381952), ('says', 0.039584027290137505), ('19 due hazard', 0.03791854941139676), ('lives daily', 0.03791854941139676), ('19 due', 0.03791854941139676)]",negative
41,40,15,40_hazard inducement_inducement_strike_hazard inducement allowance,"[('hazard inducement', 0.042681429557752386), ('inducement', 0.0403874230587579), ('strike', 0.04022947723220543), ('hazard inducement allowance', 0.03818847016712118), ('inducement allowance', 0.035939528790759505), ('50', 0.028389313542956464), ('allowance', 0.025596767809223306), ('hazard', 0.02468308860671097), ('health sector strike', 0.023840388789821268), ('demands include', 0.023840388789821268)]",negative
42,41,15,41_thursdaymorning_tag_check us instagram_thursdaymorning staysafe dontrushchallenge,"[('thursdaymorning', 0.032692434973477416), ('tag', 0.027068010656750918), ('check us instagram', 0.021185134708644127), ('thursdaymorning staysafe dontrushchallenge', 0.021185134708644127), ('lotions soaps', 0.021185134708644127), ('kwam1', 0.021185134708644127), ('lotions soaps deodorants', 0.021185134708644127), ('lotions', 0.021185134708644127), ('dontrushchallenge kwam1', 0.021185134708644127), ('foolishness', 0.021185134708644127)]",negative
